OrderType,OrderCategory,CustomerCode,CountryName,CustomerOrderNo,Custorderdate,UnitName,QtyRequired,TotalArea,Amount,ITEM_NAME,QualityName,DesignName,ColorName,ShapeName,AreaFt
Area Wise,Sample,CC,INDIA,10-AUG19_SAMPLE-3,2019-08-10,Ft,1,6.0,0.0,HAND TUFTED,TUFTED 60C LOOP/CUT,PVD2,MULTI,REC,6.0
Area Wise,Sample,CC,INDIA,Sample-13-AUG-2019 (3),2019-08-13,Mtr,1,1.5625,0.0,DURRY,FLATWOVEN JUTE,SAMPLE,MULTI,ROUND,16.6736
Area Wise,Sample,CC,INDIA,Sample-13-AUG-2019 (5),2019-08-13,Mtr,1,1.5625,0.0,DURRY,FLATWOVEN JUTE,SAMPLE,MULTI,ROUND,16.6736
Area Wise,Sample,CC,INDIA,AJAY2019,2019-08-14,Ft,1,40.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY LOOP/CUT,10413(CALDER RUG),MULTI,REC,40.0
Area Wise,Sample,A-9,USA,S 22,2019-09-16,Ft,1,40.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,10425(LULINNA RUG),BLUE,REC,40.0
Area Wise,Sample,A-9,USA,S 23,2019-09-16,Ft,1,40.0,0.0,HAND TUFTED,TUFTED 60C+VISC 2/16 5PLY,10425(LULINNA RUG),BLUE,REC,40.0
Area Wise,Sample,CC,INDIA,Sample-14-AUG-19 (1),2019-08-14,Ft,1,6.0,0.0,HAND TUFTED,TUFTED 60C ALL CUT,PVD3,IVORY,REC,6.0
Area Wise,Order,T-5,UK,50 588056,2019-08-10,Ft,420,8.4375,2480.625,DURRY,FLATWOVEN 60C+10C+COTTON,JONES,BEIGE,REC,8.4375
Area Wise,Order,T-5,UK,55 588056,2019-08-10,Ft,180,8.4375,1063.125,DURRY,FLATWOVEN 60C+10C+COTTON,JONES,BEIGE,REC,8.4375
Area Wise,Order,H-2,USA,731163,2019-08-16,Ft,80,8.4375,506.25,DURRY,FLATWOVEN 60C+10C+COTTON,JONES,BEIGE,REC,8.4375
